second,Volt,Ampere,Volt
+1.0200E-03,+3.8592964E+00,+197.8372E-03,-311.8720E-03
+1.0300E-03,+3.9068064E+00,+193.2098E-03,-311.8720E-03
+1.0400E-03,+3.9396985E+00,+189.1897E-03,-311.8720E-03
+1.0500E-03,+3.9396985E+00,+188.8888E-03,-311.8720E-03
+1.0600E-03,+4.0201005E+00,+193.2098E-03,-311.8720E-03
+1.0700E-03,+4.0201005E+00,+189.1897E-03,-311.8720E-03
+1.0800E-03,+4.0201005E+00,+185.1696E-03,-311.8720E-03
+1.0900E-03,+4.0201005E+00,+177.3011E-03,-311.8720E-03
+1.1000E-03,+4.0831904E+00,+177.1294E-03,+3.0619332E+00
+1.1100E-03,+4.1005025E+00,+185.1696E-03,+3.1052135E+00
+1.1200E-03,+4.1593072E+00,+177.1294E-03,-311.8720E-03
+1.1300E-03,+4.1800534E+00,+173.1093E-03,-510.7494E-03
+1.1400E-03,+4.1809045E+00,+169.0892E-03,-463.1388E-03
+1.1500E-03,+4.1809045E+00,+165.0691E-03,-311.8720E-03
+1.1600E-03,+4.1809045E+00,+174.0600E-03,-359.4074E-03
+1.1700E-03,+4.2613065E+00,+169.0892E-03,-311.8720E-03
+1.1800E-03,+4.2613065E+00,+165.0691E-03,-311.8720E-03
+1.1900E-03,+4.2984838E+00,+157.0289E-03,-311.8720E-03
+1.2000E-03,+4.3252775E+00,+157.0289E-03,+3.0641360E+00
+1.2100E-03,+4.3417085E+00,+165.0691E-03,+3.1052135E+00
+1.2200E-03,+4.3417085E+00,+159.7959E-03,-374.5259E-03
+1.2300E-03,+4.3417085E+00,+153.0088E-03,-311.8720E-03
+1.2400E-03,+4.4221105E+00,+144.9686E-03,-311.8720E-03
+1.2500E-03,+4.3486069E+00,+145.3135E-03,-329.1181E-03
+1.2600E-03,+4.3693532E+00,+153.0088E-03,-311.8720E-03
+1.2700E-03,+4.4221105E+00,+146.5691E-03,-391.8995E-03
+1.2800E-03,+4.4221105E+00,+140.9485E-03,-484.7153E-03
+1.2900E-03,+4.4930309E+00,+136.9284E-03,-311.8720E-03
+1.3000E-03,+4.4722846E+00,+136.9284E-03,+3.1052135E+00
+1.3100E-03,+4.4515383E+00,+143.4972E-03,+3.1052135E+00
+1.3200E-03,+4.5025125E+00,+136.9284E-03,+3.0835096E+00
+1.3300E-03,+4.5025125E+00,+132.9083E-03,-311.8720E-03
+1.3400E-03,+4.5025125E+00,+130.5287E-03,-393.8996E-03
+1.3500E-03,+4.5025125E+00,+124.8681E-03,-311.8720E-03
+1.3600E-03,+4.5025125E+00,+137.2333E-03,-311.8720E-03
+1.3700E-03,+4.5829145E+00,+129.6206E-03,-311.8720E-03
+1.3800E-03,+4.5379067E+00,+122.6177E-03,-311.8720E-03
+1.3900E-03,+4.5829145E+00,+116.8279E-03,-311.8720E-03
+1.4000E-03,+4.5829145E+00,+117.0037E-03,+3.0964254E+00
+1.4100E-03,+4.5829145E+00,+128.0266E-03,+3.0621358E+00
+1.4200E-03,+4.6633165E+00,+120.8480E-03,-406.8153E-03
+1.4300E-03,+4.6416382E+00,+116.8279E-03,-311.8720E-03
+1.4400E-03,+4.5829145E+00,+112.8078E-03,-510.5468E-03
+1.4500E-03,+4.6633165E+00,+109.7784E-03,-311.8720E-03
+1.4600E-03,+4.6633165E+00,+120.8480E-03,-413.2732E-03
+1.4700E-03,+4.6633165E+00,+116.8279E-03,-311.8720E-03
+1.4800E-03,+4.6633165E+00,+108.7877E-03,-311.8720E-03
+1.4900E-03,+4.6633165E+00,+104.7676E-03,+3.1052135E+00
+1.5000E-03,+4.6633165E+00,+104.7676E-03,+3.0120676E+00
+1.5100E-03,+4.6633165E+00,+116.0023E-03,+2.9454886E+00
+1.5200E-03,+4.7394843E+00,+108.7877E-03,-311.8720E-03
+1.5300E-03,+4.7437185E+00,+104.7676E-03,-311.8720E-03
+1.5400E-03,+4.6979917E+00,+100.7475E-03,-426.1890E-03
+1.5500E-03,+4.7437185E+00,+96.7274E-03,-311.8720E-03
+1.5600E-03,+4.7437185E+00,+108.7877E-03,-311.8720E-03
+1.5700E-03,+4.7437185E+00,+104.7676E-03,-311.8720E-03
+1.5800E-03,+4.7437185E+00,+99.1429E-03,-392.1021E-03
+1.5900E-03,+4.7437185E+00,+92.7073E-03,-311.8720E-03
+1.6000E-03,+4.7437185E+00,+89.6272E-03,+2.9042085E+00
+1.6100E-03,+4.8241206E+00,+104.7676E-03,+3.1052135E+00
+1.6200E-03,+4.8241206E+00,+100.7475E-03,-439.1048E-03
+1.6300E-03,+4.8241206E+00,+96.2893E-03,-311.8720E-03
+1.6400E-03,+4.7557022E+00,+85.2663E-03,-311.8720E-03
+1.6500E-03,+4.8241206E+00,+87.0507E-03,-311.8720E-03
+1.6600E-03,+4.8241206E+00,+100.7475E-03,-311.8720E-03
+1.6700E-03,+4.8179411E+00,+96.7274E-03,-311.8720E-03
